time,latitude,longitude,depth,mag,Year
2023-02-20T23:21:14.407Z,38.0175,37.3695,10,4.3,2023
2023-02-20T22:56:53.386Z,35.9531,35.9447,10,4,2023
2023-02-20T19:09:20.418Z,36.2572,36.1266,10,4.2,2023
2023-02-20T19:00:14.488Z,36.105,35.9906,10,4.2,2023
2023-02-20T17:13:18.998Z,36.2653,36.0798,10,4.6,2023
2023-02-20T17:07:35.934Z,36.159,35.9351,10,5.5,2023
2023-02-20T17:04:29.733Z,36.1588,36.0342,16,6.3,2023
2023-02-20T03:45:38.422Z,38.6405,39.9601,7.501,4.4,2023
2023-02-20T01:49:00.120Z,38.0024,36.7996,6.718,4.3,2023
2023-02-20T01:07:37.652Z,38.6331,39.9916,5.322,4.4,2023
2023-02-20T00:58:49.108Z,38.6528,39.9381,13.941,4.2,2023
2023-02-20T00:39:03.146Z,38.6937,39.9887,10,4.5,2023
2023-02-20T00:37:30.222Z,38.6255,39.9281,10,4.7,2023
2023-02-19T23:57:26.565Z,38.2676,38.8212,10,4.2,2023
2023-02-19T21:30:30.413Z,37.3919,36.8535,10,3.9,2023
2023-02-19T14:26:21.752Z,34.699,32.9989,6.139,3.6,2023
2023-02-19T12:04:33.897Z,38.2354,38.1917,5.306,4.6,2023
2023-02-19T04:07:41.230Z,37.3021,36.8869,11.749,4.3,2023
2023-02-19T04:06:17.623Z,37.2737,36.8291,10,4.2,2023
2023-02-19T03:59:10.433Z,37.1416,36.8384,9.74,4.1,2023
2023-02-19T00:56:11.610Z,38.0406,36.2306,6.431,4.3,2023
2023-02-18T19:31:31.742Z,38.0696,36.5991,12.158,5,2023
2023-02-18T16:14:41.445Z,37.9217,38.1144,9.326,4,2023
2023-02-18T05:26:04.931Z,38.073,37.1651,5.16,4,2023
2023-02-17T19:10:38.916Z,38.0804,38.1774,15.797,3.9,2023
2023-02-17T15:34:38.723Z,38.6273,39.642,10,4.4,2023
2023-02-17T14:58:56.344Z,37.9375,36.3279,6.44,4.4,2023
2023-02-17T00:35:58.508Z,39.1851,40.1492,10,4.6,2023
2023-02-16T23:53:24.376Z,37.8609,37.9524,10,4.1,2023
2023-02-16T19:47:49.683Z,36.1766,35.7967,10,5.2,2023
2023-02-16T16:38:32.250Z,37.9197,37.5097,10,4.1,2023
2023-02-16T14:45:42.473Z,38.1997,37.8377,10,4.6,2023
2023-02-16T11:16:23.565Z,35.9643,35.7882,10,4.8,2023
2023-02-16T05:18:56.895Z,38.0817,38.5211,15.653,4.3,2023
2023-02-15T23:43:38.793Z,37.3595,36.8701,13.697,3.9,2023
2023-02-15T22:25:57.731Z,38.0487,36.6395,6.273,4.2,2023
2023-02-15T07:36:30.401Z,37.9606,36.4923,10,4.4,2023
2023-02-15T06:25:30.679Z,38.0945,36.7069,10,4.3,2023
2023-02-15T00:06:02.819Z,36.7937,36.5503,10,4.2,2023
2023-02-14T23:14:01.248Z,38.5302,37.4908,5,4.5,2023
2023-02-14T15:50:37.803Z,38.0849,37.166,0.343,4.4,2023
2023-02-14T13:44:03.567Z,35.5292,35.4049,10,4.3,2023
2023-02-14T13:13:07.027Z,37.8316,37.9533,12.979,4,2023
2023-02-14T11:54:14.191Z,36.0301,36.1183,26.181,4.4,2023
