latitude,longitude,depth,mag,Timestamp,Year
37.7974,36.5428,5,4.3,1680126261,2023
37.3371,36.8395,4.1,4.1,1680120517,2023
37.9135,36.2474,10,4.6,1680108422,2023
38.2368,38.0593,5.5,4.4,1680098319,2023
37.6759,36.3106,16.8,4.3,1680000916,2023
38.0816,36.5466,8.9,4.4,1679927716,2023
37.9055,36.1849,10,4.3,1679726020,2023
37.9894,36.9839,10,4.4,1679719174,2023
37.9624,37.5237,12.8,4.4,1679663435,2023
37.9593,36.3728,10,4.6,1679618393,2023
38.0255,36.4149,10,4.9,1679563193,2023
37.8989,36.6267,8.1,4.4,1679550322,2023
38.0905,38.0478,10,4.3,1679514205,2023
37.3664,36.7383,10,4,1679326836,2023
38.0518,37.1955,10,4.3,1679306227,2023
38.0182,36.4817,9.4,4.3,1679230605,2023
38.0441,36.4908,9.7,4.3,1679230464,2023
37.8271,36.3781,4.9,4.3,1679131531,2023
38.0124,36.4342,7.4,4.6,1679116469,2023
38.0328,36.5559,5,4.3,1679017273,2023
36.2858,34.3874,10,4.3,1678996753,2023
37.1397,36.3882,11.7,4.2,1678850995,2023
37.7866,37.3903,10,4.6,1678805389,2023
38.0681,36.9544,3.3,4.6,1678776454,2023
38.1074,38.5417,8.7,3.9,1678760872,2023
36.8216,36.5749,8.3,4.3,1678674194,2023
38.1186,38.6785,10,4.4,1678673633,2023
38.1188,38.6904,5.5,4.6,1678671270,2023
37.9391,36.329,10,4.3,1678624282,2023
36.9506,35.7349,3.7,4.3,1678563316,2023
38.0557,38.6147,14.5,4.3,1678534331,2023
37.9912,37.4971,9,4.1,1678435114,2023
38.6673,35.3344,5,4.8,1678415295,2023
38.0645,38.4618,5.4,4.1,1678404857,2023
38.056,38.4539,10,4.3,1678388128,2023
38.8412,37.3634,10,4.2,1678198701,2023
38.7061,35.3208,7,4.4,1678190019,2023
38.6304,35.2891,10,4.7,1678189648,2023
37.6748,36.6304,5.7,4.4,1678182011,2023
36.1589,36.0428,10,4,1678140897,2023
38.197,37.2109,14.4,4,1678107805,2023
36.2202,36.0072,10,4,1678100576,2023
36.1163,36.1532,20.7,4.2,1678090458,2023
37.9394,37.9123,5,4.1,1678081868,2023
36.1816,36.0375,10,4,1678068962,2023
36.7867,36.1842,10,4.8,1678049386,2023
38.0299,38.2134,2.9,4.2,1677907654,2023
37.8395,36.7004,7.1,5,1677812023,2023
38.2315,38.1119,6.9,3.4,1677764154,2023
37.2659,37.0676,9.4,4.4,1677688679,2023
36.3216,36.1079,35.4,4.6,1677655226,2023
37.759,37.8849,10,4.3,1677644131,2023
37.9545,37.0096,10,4.4,1677637402,2023
37.2808,37.0318,12,4.1,1677627130,2023
37.2341,36.9788,13.3,4.1,1677610304,2023
38.7188,35.3963,10,4,1677597399,2023
37.9074,36.7308,10,4.4,1677595757,2023
37.7893,36.7056,10,4.4,1677595194,2023
37.4289,36.4287,13.3,4.3,1677588136,2023
38.2434,38.2911,10,4.2,1677550740,2023
38.2289,38.2828,10,5.2,1677488691,2023
